WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT AMERICAN SAMOA 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SMON2O_WK.DAT
NUMBER OF OBSERVATIONS = 888
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1979  66 204  3.0 299.1  2   1.0078 335.5500
1979  72 205  1.4 297.2  0   1.0080 335.8000
1979  72 205  1.3 298.3  0   1.0080 335.8000
1979  83 206  1.7 299.8  0   1.0092 336.9500
1979  83 206  2.6 299.8  0   1.0092 336.9500
1979  92 207  3.1 296.7  0   1.0084 335.7900
1979  92 207  2.7 299.3  0   1.0084 335.7900
1979  98 208  1.0 297.9  0   1.0089 337.2400
1979  98 208  1.7 300.8  0   1.0089 337.2400
1979 109 209  1.7 298.9  0   1.0083 338.5800
1979 109 209  4.3 302.7  1   1.0083 338.5800
1979 114 210  0.3 301.2  0   1.0086 336.6700
1979 114 210  2.0 299.6  0   1.0086 336.6700
1979 122 211  4.7 294.4  1   1.0081 335.1700
1979 122 211  2.1 300.0  0   1.0081 335.1700
1979 129 212  2.3 299.8  0   1.0088 336.5100
1979 129 212  2.2 299.8  0   1.0088 336.5100
1979 135 213  2.5 298.8  0   1.0101 335.7100
1979 135 213  1.7 304.0  0   1.0101 335.7100
1979 143 214  1.4 301.4  0   1.0096 335.1900
1979 143 214  2.3 300.1  0   1.0096 335.1900
1979 150 215  3.0 300.5  0   1.0116 335.8700
1979 150 215  3.0 299.3  0   1.0116 335.8700
1979 157 216  2.3 299.9  0   1.0101 336.8200
1979 157 216  2.1 300.2  0   1.0101 336.8200
1979 163 217  1.8 300.1  2
1979 163 217 11.2 308.9  7   1.0099 335.7100
1979 171 218  0.9 299.9  0   1.0100 336.5500
1979 171 218  0.4 298.5  0   1.0100 336.5500
1979 178 219  1.3 300.7  0   1.0102 335.7700
1979 178 219  1.5 300.5  0   1.0102 335.7700
1979 185 220  3.4 306.4  4   1.0105 335.6900
1979 185 220  1.3 300.4  0   1.0105 335.6900
1979 192 221  1.6 299.2  0   1.0102 336.1500
1979 192 221  3.2 295.6  0   1.0102 336.1500
1979 199 222  1.5 300.3  0   1.0104 337.3500
1979 199 222  1.5 299.7  0   1.0104 337.3500
1979 209 223  1.3 302.8  0   1.0110 335.7200
1979 209 223  2.1 300.8  0   1.0110 335.7200
1979 213 224  2.1 301.3  0   1.0103 335.7300
1979 213 224  1.5 302.1  0   1.0103 335.7300
1979 221 225  0.9 302.8  0   1.0097 337.2000
1979 221 225  1.6 301.4  0   1.0097 337.2000
1979 227 226  0.7 299.8  0   1.0092 335.8800
1979 227 226  2.5 299.7  0   1.0092 335.8800
1979 234 227  1.3 300.9  0   1.0092 336.6600
1979 242 228  4.2 300.7  1   1.0095 336.1700
1979 242 228  3.7 305.7  0   1.0095 336.1700
1979 248 229  0.0 301.9  0   1.0085 335.9500
1979 248 229  0.9 303.0  0   1.0085 335.9500
1979 255 230  0.3 305.9  0   1.0093 336.1900
1979 255 230  2.0 305.8  0   1.0093 336.1900
1979 261 231  1.7 302.5  0   1.0099 336.3700
1979 261 231  2.5 296.6  0   1.0099 336.3700
1979 269 232  0.7 303.8  0   1.0095 336.4700
1979 269 232  3.2 302.2  0   1.0095 336.4700
1979 279 233 13.0 318.0  5   1.0103 336.5500
1979 279 233  9.3 302.8  3   1.0103 336.5500
1979 283 234  3.4 305.2  0   1.0113 336.4600
1979 283 234  3.4 303.9  0   1.0113 336.4600
1979 290 235  1.9 300.9  0   1.0084 336.7600
1979 290 235  0.5 302.5  0   1.0084 336.7600
1979 297 236  2.5 302.3  0   1.0089 336.7400
1979 297 236  0.2 306.1  0   1.0089 336.7400
1979 304 237  2.7 309.3  4   1.0084 337.2100
1979 304 237  0.7 302.1  2   1.0084 337.2100
1979 311 238  4.0 300.6  1   1.0083 336.9000
1979 311 238  0.5 303.7  0   1.0083 336.9000
1979 319 239  1.6 301.0  2
1979 319 239  4.6 307.5  7   1.0080 336.3400
1979 325 240  3.0 299.7  0   1.0087 337.1600
1979 325 240  2.9 301.3  0   1.0087 337.1600
1979 339 241  1.5 300.6  0   1.0083 337.2100
1979 339 241  3.1 303.4  0   1.0083 337.2100
1979 346 242  2.1 300.7  0   1.0084 337.5700
1979 346 242  3.1 305.3  0   1.0084 337.5700
1979 353 243  2.3 298.9  0   1.0077 336.7600
1979 353 243  3.7 302.3  0   1.0077 336.7600
1979 361 244  0.8 302.7  0   1.0080 336.7000
1979 361 244  1.8 299.3  0   1.0080 336.7000
1980   2 245  0.9 302.8  0   1.0083 337.1000
1980   2 245  1.3 303.0  0   1.0083 337.1000
1980   9 246  1.5 297.3  0   1.0085 337.3800
1980   9 246  0.8 301.5  0   1.0085 337.3800
1980  16 247  2.0 304.4  0   1.0102 337.4600
1980  16 247  3.4 306.6  0   1.0102 337.4600
1980  24 248  3.0 303.6  0   1.0083 336.5800
1980  24 248  3.5 300.3  0   1.0083 336.5800
1980  33 249  2.1 301.8  0   1.0077 337.8500
1980  33 249  0.6 300.7  0   1.0077 337.8500
1980  40 250  1.8 303.5  0   1.0084 337.2900
1980  40 250  1.7 304.3  0   1.0084 337.2900
1980  47 251  0.8 302.4  0   1.0090 336.5100
1980  47 251  3.4 302.3  0   1.0090 336.5100
1980  54 252  1.9 302.1  0   1.0088 337.8400
1980  54 252  2.7 302.1  0   1.0088 337.8400
1980  61 253  2.9 298.5  0   1.0089 337.7200
1980  61 253  2.5 301.7  0   1.0089 337.7200
1980  68 254  0.4 297.8  0   1.0082 338.1500
1980  68 254  2.5 299.7  0   1.0082 338.1500
1980  75 255  0.5 304.6  0   1.0086 337.9000
1980  75 255  3.1 300.7  0   1.0086 337.9000
1980  82 256  2.6 301.2  0   1.0080 338.0900
1980  82 256  1.8 302.5  0   1.0080 338.0900
1980  82 256  2.2 301.1  0   1.0080 338.0900
1980  82 256  2.5 300.1  0   1.0080 338.0900
1980  89 257  1.7 299.9  2
1980  89 257  5.4 291.7  3   1.0119 337.0200
1980  89 257  1.6 377.9  6   1.0119 337.0200
1980  89 257  4.4 590.5  7   1.0119 337.0200
1980  96 258  2.7 307.8  4   1.0091 337.3800
1980  96 258  0.1 295.9  2   1.0091 337.3800
1980 103 259  1.6 299.2  0   1.0091 336.6700
1980 103 259  3.3 301.3  0   1.0091 336.6700
1980 110 260  5.7 304.3  1   1.0094 338.4500
1980 110 260  1.3 303.2  2
1980 110 260  1.8 309.6  6   1.0094 338.4500
1980 110 260  1.1 326.2  6   1.0094 338.4500
1980 117 261  5.1 301.1  1   1.0090 336.4900
1980 117 261  3.4 296.6  0   1.0090 336.4900
1980 117 261  1.4 301.9  0   1.0090 336.4900
1980 124 262  3.0 302.8  0   1.0108 337.8800
1980 124 262  3.3 298.4  0   1.0108 337.8800
1980 124 262  1.5 302.0  0   1.0108 337.8800
1980 131 263  2.1 297.9  0   1.0097 337.2100
1980 131 263  1.5 299.4  0   1.0097 337.2100
1980 131 263  0.4 301.0  0   1.0097 337.2100
1980 131 263  2.4 301.1  0   1.0097 337.2100
1980 138 264  1.3 300.3  0   1.0107 338.1500
1980 138 264  1.9 298.4  0   1.0107 338.1500
1980 138 264  2.8 302.3  0   1.0107 338.1500
1980 138 264  1.8 306.5  0   1.0107 338.1500
1980 145 265  2.9 302.7  0   1.0100 337.3300
1980 145 265  2.0 299.3  0   1.0100 337.3300
1980 145 265  3.0 302.8  0   1.0100 337.3300
1980 145 265  2.9 302.3  0   1.0100 337.3300
1980 152 266  1.6 300.5  0   1.0112 337.5000
1980 152 266  1.1 297.7  0   1.0112 337.5000
1980 152 266  2.8 300.6  0   1.0112 337.5000
1980 152 266  3.1 298.6  0   1.0112 337.5000
1980 159 267  1.9 303.5  0   1.0099 337.6000
1980 159 267  4.1 300.3  1   1.0099 337.6000
1980 159 267  3.8 301.1  0   1.0099 337.6000
1980 159 267  2.5 302.2  0   1.0099 337.6000
1980 166 268  2.7 300.3  0   1.0106 338.6600
1980 166 268  2.2 302.9  0   1.0106 338.6600
1980 173 269  3.8 297.9  0   1.0102 337.7600
1980 173 269  1.3 301.6  0   1.0102 337.7600
1980 180 270  2.7 299.0  0   1.0108 337.7800
1980 180 270  1.7 303.0  0   1.0108 337.7800
1980 188 271  1.0 301.6  0   1.0118 338.5000
1980 188 271  3.0 300.2  0   1.0118 338.5000
1980 194 272  2.2 299.9  0   1.0117 338.8400
1980 194 272  3.5 300.8  0   1.0117 338.8400
1980 202 273  3.3 300.1  0   1.0117 338.6300
1980 202 273  1.9 299.0  0   1.0117 338.6300
1980 209 274  3.8 301.5  0   1.0119 338.4400
